==========================================
SLURM_JOB_ID = 14415720
SLURM_JOB_NODELIST = d05-29
TMPDIR = /tmp/SLURM_14415720
==========================================

*-*-ID-*-* TRAINING GCN AGG W 2 LAYERS, 2 EDGES PER NODE ON Camelyon16

N Training Samples: 319
N Testing Samples: 80

  0%|          | 0/99 [00:00<?, ?it/s]
  1%|          | 1/99 [12:49<20:57:29, 769.90s/it]
  2%|▏         | 2/99 [25:01<20:08:14, 747.36s/it]
  3%|▎         | 3/99 [37:07<19:40:12, 737.63s/it]
  4%|▍         | 4/99 [49:02<19:13:50, 728.74s/it]
  5%|▌         | 5/99 [1:00:34<18:40:49, 715.42s/it]
  6%|▌         | 6/99 [1:12:00<18:13:15, 705.33s/it]
  7%|▋         | 7/99 [1:22:42<17:29:57, 684.76s/it]
  8%|▊         | 8/99 [1:33:23<16:57:23, 670.81s/it]
  9%|▉         | 9/99 [1:44:10<16:35:11, 663.46s/it]
 10%|█         | 10/99 [1:55:34<16:33:24, 669.71s/it]
 11%|█         | 11/99 [2:07:12<16:34:51, 678.31s/it]
 12%|█▏        | 12/99 [2:17:47<16:04:35, 665.24s/it]
 13%|█▎        | 13/99 [2:29:47<16:17:19, 681.86s/it]
 14%|█▍        | 14/99 [2:40:29<15:48:38, 669.63s/it]
 15%|█▌        | 15/99 [2:51:32<15:34:59, 667.85s/it]
 16%|█▌        | 16/99 [3:02:59<15:31:34, 673.43s/it]
 17%|█▋        | 17/99 [3:13:59<15:14:43, 669.31s/it]
 18%|█▊        | 18/99 [3:25:40<15:16:34, 678.94s/it]
 19%|█▉        | 19/99 [3:36:16<14:48:17, 666.22s/it]
 20%|██        | 20/99 [3:47:39<14:43:45, 671.21s/it]
 21%|██        | 21/99 [3:57:58<14:12:05, 655.46s/it]
 22%|██▏       | 22/99 [4:08:17<13:47:01, 644.43s/it]
 23%|██▎       | 23/99 [4:19:12<13:40:20, 647.64s/it]
 24%|██▍       | 24/99 [4:29:56<13:28:07, 646.50s/it]
 25%|██▌       | 25/99 [4:40:31<13:13:15, 643.18s/it]
 26%|██▋       | 26/99 [4:51:11<13:01:24, 642.25s/it]
 27%|██▋       | 27/99 [5:02:24<13:01:33, 651.30s/it]
 28%|██▊       | 28/99 [5:13:25<12:54:07, 654.18s/it]
 29%|██▉       | 29/99 [5:24:32<12:47:45, 658.08s/it]
 30%|███       | 30/99 [5:35:32<12:37:41, 658.86s/it]
 31%|███▏      | 31/99 [5:46:12<12:20:18, 653.21s/it]
 32%|███▏      | 32/99 [5:57:14<12:12:11, 655.70s/it]
 Training bag [0/319] bag loss: 0.5813
 Training bag [1/319] bag loss: 0.2622
 Training bag [2/319] bag loss: 2.4158
 Training bag [3/319] bag loss: 1.6410
 Training bag [4/319] bag loss: 1.0822
 Training bag [5/319] bag loss: 0.7160
 Training bag [6/319] bag loss: 0.6703
 Training bag [7/319] bag loss: 0.9200
 Training bag [8/319] bag loss: 0.8457
 Training bag [9/319] bag loss: 0.7230
 Training bag [10/319] bag loss: 0.7326
 Training bag [11/319] bag loss: 0.6335
 Training bag [12/319] bag loss: 0.9470
 Training bag [13/319] bag loss: 0.8351
 Training bag [14/319] bag loss: 0.6411
 Training bag [15/319] bag loss: 1.0529
 Training bag [16/319] bag loss: 0.5817
 Training bag [17/319] bag loss: 0.9164
 Training bag [18/319] bag loss: 0.6741
 Training bag [19/319] bag loss: 0.6395
 Training bag [20/319] bag loss: 0.5208
 Training bag [21/319] bag loss: 0.3667
 Training bag [22/319] bag loss: 1.9708
 Training bag [23/319] bag loss: 0.3809
 Training bag [24/319] bag loss: 1.1623
 Training bag [25/319] bag loss: 0.9000
 Training bag [26/319] bag loss: 0.6842
 Training bag [27/319] bag loss: 0.6893
 Training bag [28/319] bag loss: 0.5729
 Training bag [29/319] bag loss: 0.4608
 Training bag [30/319] bag loss: 0.3600
 Training bag [31/319] bag loss: 1.7220
 Training bag [32/319] bag loss: 0.3845
 Training bag [33/319] bag loss: 0.4261
 Training bag [34/319] bag loss: 0.3987
 Training bag [35/319] bag loss: 0.3506
 Training bag [36/319] bag loss: 1.5927
 Training bag [37/319] bag loss: 1.2939
 Training bag [38/319] bag loss: 0.9464
 Training bag [39/319] bag loss: 0.6994
 Training bag [40/319] bag loss: 0.5143
 Training bag [41/319] bag loss: 1.2411
 Training bag [42/319] bag loss: 1.1100
 Training bag [43/319] bag loss: 0.8645
 Training bag [44/319] bag loss: 0.6615
 Training bag [45/319] bag loss: 0.5121
 Training bag [46/319] bag loss: 1.1262
 Training bag [47/319] bag loss: 0.4606
 Training bag [48/319] bag loss: 1.0477
 Training bag [49/319] bag loss: 0.5266
 Training bag [50/319] bag loss: 0.5365
 Training bag [51/319] bag loss: 0.9961
 Training bag [52/319] bag loss: 0.8232
 Training bag [53/319] bag loss: 0.6427
 Training bag [54/319] bag loss: 0.6496
 Training bag [55/319] bag loss: 0.8412
 Training bag [56/319] bag loss: 0.6192
 Training bag [57/319] bag loss: 0.8547
 Training bag [58/319] bag loss: 0.7357
 Training bag [59/319] bag loss: 0.8244
 Training bag [60/319] bag loss: 0.7868
 Training bag [61/319] bag loss: 0.7322
 Training bag [62/319] bag loss: 0.6867
 Training bag [63/319] bag loss: 0.8042
 Training bag [64/319] bag loss: 0.7429
 Training bag [65/319] bag loss: 0.6380
 Training bag [66/319] bag loss: 0.9328
 Training bag [67/319] bag loss: 0.5777
 Training bag [68/319] bag loss: 0.5564
 Training bag [69/319] bag loss: 1.0121
 Training bag [70/319] bag loss: 0.5010
 Training bag [71/319] bag loss: 1.0005
 Training bag [72/319] bag loss: 0.5349
 Training bag [73/319] bag loss: 0.9107
 Training bag [74/319] bag loss: 0.6703
 Training bag [75/319] bag loss: 0.6258
 Training bag [76/319] bag loss: 0.5538
 Training bag [77/319] bag loss: 0.9821
 Training bag [78/319] bag loss: 0.5199
 Training bag [79/319] bag loss: 0.4950
 Training bag [80/319] bag loss: 1.3194
 Training bag [81/319] bag loss: 0.5014
 Training bag [82/319] bag loss: 0.9698
 Training bag [83/319] bag loss: 0.8110
 Training bag [84/319] bag loss: 0.7194
 Training bag [85/319] bag loss: 0.5309
 Training bag [86/319] bag loss: 0.4743
 Training bag [87/319] bag loss: 1.4015
 Training bag [88/319] bag loss: 1.1788
 Training bag [89/319] bag loss: 0.5465
 Training bag [90/319] bag loss: 0.5926
 Training bag [91/319] bag loss: 1.1218
 Training bag [92/319] bag loss: 0.8663
 Training bag [93/319] bag loss: 0.6840
 Training bag [94/319] bag loss: 0.6857
 Training bag [95/319] bag loss: 0.7505
 Training bag [96/319] bag loss: 0.7077
 Training bag [97/319] bag loss: 0.6383
 Training bag [98/319] bag loss: 0.6568
 Training bag [99/319] bag loss: 0.7760
 Training bag [100/319] bag loss: 0.6189
 Training bag [101/319] bag loss: 0.6821
 Training bag [102/319] bag loss: 0.5850
 Training bag [103/319] bag loss: 0.4746
 Training bag [104/319] bag loss: 0.9615
 Training bag [105/319] bag loss: 1.0922
 Training bag [106/319] bag loss: 0.7794
 Training bag [107/319] bag loss: 0.7785
 Training bag [108/319] bag loss: 0.8129
 Training bag [109/319] bag loss: 0.8392
 Training bag [110/319] bag loss: 0.7484
 Training bag [111/319] bag loss: 0.5939
 Training bag [112/319] bag loss: 0.5494
 Training bag [113/319] bag loss: 0.4184
 Training bag [114/319] bag loss: 0.2943
 Training bag [115/319] bag loss: 0.2297
 Training bag [116/319] bag loss: 1.9708
 Training bag [117/319] bag loss: 0.3414
 Training bag [118/319] bag loss: 0.3206
 Training bag [119/319] bag loss: 0.2938
 Training bag [120/319] bag loss: 0.2251
 Training bag [121/319] bag loss: 1.7835
 Training bag [122/319] bag loss: 1.3910
 Training bag [123/319] bag loss: 1.1496
 Training bag [124/319] bag loss: 0.8945
 Training bag [125/319] bag loss: 0.7265
 Training bag [126/319] bag loss: 0.8095
 Training bag [127/319] bag loss: 0.7672
 Training bag [128/319] bag loss: 0.5799
 Training bag [129/319] bag loss: 0.6720
 Training bag [130/319] bag loss: 0.7503
 Training bag [131/319] bag loss: 0.7154
 Training bag [132/319] bag loss: 0.6613
 Training bag [133/319] bag loss: 0.8794
 Training bag [134/319] bag loss: 0.7983
 Training bag [135/319] bag loss: 0.6761
 Training bag [136/319] bag loss: 0.6164
 Training bag [137/319] bag loss: 0.6106
 Training bag [138/319] bag loss: 0.5320
 Training bag [139/319] bag loss: 0.4445
 Training bag [140/319] bag loss: 1.5192
 Training bag [141/319] bag loss: 0.4616
 Training bag [142/319] bag loss: 0.4851
 Training bag [143/319] bag loss: 1.1315
 Training bag [144/319] bag loss: 0.4900
 Training bag [145/319] bag loss: 0.4992
 Training bag [146/319] bag loss: 0.9254
 Training bag [147/319] bag loss: 0.4891
 Training bag [148/319] bag loss: 0.9498
 Training bag [149/319] bag loss: 0.5070
 Training bag [150/319] bag loss: 0.5288
 Training bag [151/319] bag loss: 0.4258
 Training bag [152/319] bag loss: 1.2770
 Training bag [153/319] bag loss: 0.4146
 Training bag [154/319] bag loss: 0.4003
 Training bag [155/319] bag loss: 0.3309
 Training bag [156/319] bag loss: 1.4858
 Training bag [157/319] bag loss: 0.3689
 Training bag [158/319] bag loss: 0.3746
 Training bag [159/319] bag loss: 1.1979
 Training bag [160/319] bag loss: 1.0525
 Training bag [161/319] bag loss: 0.9080
 Training bag [162/319] bag loss: 0.5920
 Training bag [163/319] bag loss: 0.5405
 Training bag [164/319] bag loss: 0.6091
 Training bag [165/319] bag loss: 0.8227
 Training bag [166/319] bag loss: 0.6169
 Training bag [167/319] bag loss: 0.7710
 Training bag [168/319] bag loss: 0.6596
 Training bag [169/319] bag loss: 0.7578
 Training bag [170/319] bag loss: 0.7050
 Training bag [171/319] bag loss: 0.6097
 Training bag [172/319] bag loss: 0.5981
 Training bag [173/319] bag loss: 0.4551
 Training bag [174/319] bag loss: 1.2743
 Training bag [175/319] bag loss: 0.4318
 Training bag [176/319] bag loss: 1.1918
 Training bag [177/319] bag loss: 0.9011
 Training bag [178/319] bag loss: 0.8218
 Training bag [179/319] bag loss: 0.6787
 Training bag [180/319] bag loss: 0.8160
 Training bag [181/319] bag loss: 0.8143
 Training bag [182/319] bag loss: 0.6834
 Training bag [183/319] bag loss: 0.6191
 Training bag [184/319] bag loss: 0.7474
 Training bag [185/319] bag loss: 0.6150
 Training bag [186/319] bag loss: 0.6578
 Training bag [187/319] bag loss: 0.6192
 Training bag [188/319] bag loss: 0.6056
 Training bag [189/319] bag loss: 0.7939
 Training bag [190/319] bag loss: 0.6074
 Training bag [191/319] bag loss: 0.7818
 Training bag [192/319] bag loss: 0.5772
 Training bag [193/319] bag loss: 0.5577
 Training bag [194/319] bag loss: 0.5603
 Training bag [195/319] bag loss: 0.4836
 Training bag [196/319] bag loss: 1.1614
 Training bag [197/319] bag loss: 0.8427
 Training bag [198/319] bag loss: 0.5570
 Training bag [199/319] bag loss: 0.5669
 Training bag [200/319] bag loss: 0.6587
 Training bag [201/319] bag loss: 0.4876
 Training bag [202/319] bag loss: 0.5535
 Training bag [203/319] bag loss: 0.4251
 Training bag [204/319] bag loss: 1.1154
 Training bag [205/319] bag loss: 0.4773
 Training bag [206/319] bag loss: 0.4482
 Training bag [207/319] bag loss: 1.0870
 Training bag [208/319] bag loss: 0.5461
 Training bag [209/319] bag loss: 0.9581
 Training bag [210/319] bag loss: 0.5063
 Training bag [211/319] bag loss: 0.6152
 Training bag [212/319] bag loss: 0.5629
 Training bag [213/319] bag loss: 0.5202
 Training bag [214/319] bag loss: 0.4864
 Training bag [215/319] bag loss: 1.1152
 Training bag [216/319] bag loss: 0.4740
 Training bag [217/319] bag loss: 0.5027
 Training bag [218/319] bag loss: 0.4826
 Training bag [219/319] bag loss: 0.4071
 Training bag [220/319] bag loss: 0.3237
 Training bag [221/319] bag loss: 1.6388
 Training bag [222/319] bag loss: 0.3323
 Training bag [223/319] bag loss: 0.3643
 Training bag [224/319] bag loss: 0.2983
 Training bag [225/319] bag loss: 0.2367
 Training bag [226/319] bag loss: 0.2116
 Training bag [227/319] bag loss: 1.5031
 Training bag [228/319] bag loss: 1.4821
