==========================================
SLURM_JOB_ID = 14488812
SLURM_JOB_NODELIST = d18-33
TMPDIR = /tmp/SLURM_14488812
==========================================

*-*-ID-*-* TRAINING GCN AGG W 2 LAYERS, 2 EDGES PER NODE ON Camelyon16

N Training Samples: 319
N Testing Samples: 80

  0%|          | 0/99 [00:00<?, ?it/s]
  1%|          | 1/99 [12:36<20:35:55, 756.69s/it]
  2%|▏         | 2/99 [26:14<21:21:28, 792.66s/it]
  3%|▎         | 3/99 [43:00<23:44:02, 890.02s/it]
  4%|▍         | 4/99 [57:05<23:00:56, 872.17s/it]
  5%|▌         | 5/99 [1:10:17<22:01:08, 843.29s/it]
  6%|▌         | 6/99 [1:23:34<21:22:39, 827.52s/it]
  7%|▋         | 7/99 [1:36:54<20:55:20, 818.70s/it]
  8%|▊         | 8/99 [1:51:29<21:08:36, 836.44s/it]
  9%|▉         | 9/99 [2:05:19<20:51:35, 834.40s/it]
 10%|█         | 10/99 [2:18:43<20:24:03, 825.21s/it]
 11%|█         | 11/99 [2:32:17<20:05:22, 821.84s/it]
 12%|█▏        | 12/99 [2:45:01<19:26:08, 804.24s/it]
 13%|█▎        | 13/99 [2:59:39<19:44:38, 826.50s/it]
 14%|█▍        | 14/99 [3:14:09<19:49:34, 839.70s/it]
 15%|█▌        | 15/99 [3:27:38<19:22:38, 830.46s/it]
 16%|█▌        | 16/99 [3:41:00<18:56:40, 821.70s/it]
 17%|█▋        | 17/99 [3:54:30<18:38:21, 818.31s/it]
 18%|█▊        | 18/99 [4:07:34<18:10:41, 807.92s/it]
 19%|█▉        | 19/99 [4:22:17<18:27:29, 830.62s/it]
 20%|██        | 20/99 [4:36:45<18:28:22, 841.81s/it]
 21%|██        | 21/99 [4:50:29<18:07:16, 836.36s/it]
 22%|██▏       | 22/99 [5:03:55<17:41:34, 827.20s/it]
 23%|██▎       | 23/99 [5:17:16<17:17:55, 819.41s/it]
 24%|██▍       | 24/99 [5:30:21<16:51:25, 809.14s/it]
 25%|██▌       | 25/99 [5:44:51<17:00:22, 827.33s/it]
 26%|██▋       | 26/99 [5:59:16<17:00:11, 838.52s/it]
 27%|██▋       | 27/99 [6:11:59<16:19:18, 816.08s/it]
 28%|██▊       | 28/99 [6:25:08<15:55:55, 807.82s/it]
 29%|██▉       | 29/99 [6:38:29<15:40:16, 805.95s/it]
 30%|███       | 30/99 [6:51:42<15:22:16, 801.98s/it]
 31%|███▏      | 31/99 [7:04:33<14:58:25, 792.73s/it]
 Training bag [0/319] bag loss: 0.7045
 Training bag [1/319] bag loss: 0.3409
 Training bag [2/319] bag loss: 0.1788
 Training bag [3/319] bag loss: 2.4970
 Training bag [4/319] bag loss: 0.1905
 Training bag [5/319] bag loss: 1.6153
 Training bag [6/319] bag loss: 1.1229
 Training bag [7/319] bag loss: 0.7174
 Training bag [8/319] bag loss: 0.4409
 Training bag [9/319] bag loss: 1.8004
 Training bag [10/319] bag loss: 0.3202
 Training bag [11/319] bag loss: 0.3427
 Training bag [12/319] bag loss: 0.2369
 Training bag [13/319] bag loss: 1.9044
 Training bag [14/319] bag loss: 0.3396
 Training bag [15/319] bag loss: 1.1878
 Training bag [16/319] bag loss: 0.9643
 Training bag [17/319] bag loss: 0.6527
 Training bag [18/319] bag loss: 0.4493
 Training bag [19/319] bag loss: 1.3610
 Training bag [20/319] bag loss: 1.1728
 Training bag [21/319] bag loss: 0.8655
 Training bag [22/319] bag loss: 0.6141
 Training bag [23/319] bag loss: 0.4367
 Training bag [24/319] bag loss: 1.4659
 Training bag [25/319] bag loss: 1.1622
 Training bag [26/319] bag loss: 0.5551
 Training bag [27/319] bag loss: 0.5674
 Training bag [28/319] bag loss: 0.4900
 Training bag [29/319] bag loss: 1.0541
 Training bag [30/319] bag loss: 0.9398
 Training bag [31/319] bag loss: 0.6843
 Training bag [32/319] bag loss: 0.9211
 Training bag [33/319] bag loss: 0.4975
 Training bag [34/319] bag loss: 0.3816
 Training bag [35/319] bag loss: 1.1780
 Training bag [36/319] bag loss: 0.9698
 Training bag [37/319] bag loss: 0.7560
 Training bag [38/319] bag loss: 0.7186
 Training bag [39/319] bag loss: 0.5911
 Training bag [40/319] bag loss: 0.8719
 Training bag [41/319] bag loss: 0.6667
 Training bag [42/319] bag loss: 0.6586
 Training bag [43/319] bag loss: 0.6980
 Training bag [44/319] bag loss: 0.6232
 Training bag [45/319] bag loss: 0.7432
 Training bag [46/319] bag loss: 0.6331
 Training bag [47/319] bag loss: 0.5333
 Training bag [48/319] bag loss: 1.1860
 Training bag [49/319] bag loss: 0.4396
 Training bag [50/319] bag loss: 0.4211
 Training bag [51/319] bag loss: 0.3834
 Training bag [52/319] bag loss: 1.2452
 Training bag [53/319] bag loss: 1.2780
 Training bag [54/319] bag loss: 0.5997
 Training bag [55/319] bag loss: 0.5735
 Training bag [56/319] bag loss: 0.8693
 Training bag [57/319] bag loss: 0.4986
 Training bag [58/319] bag loss: 0.7572
 Training bag [59/319] bag loss: 0.7150
 Training bag [60/319] bag loss: 0.7998
 Training bag [61/319] bag loss: 0.7038
 Training bag [62/319] bag loss: 0.7971
 Training bag [63/319] bag loss: 0.7104
 Training bag [64/319] bag loss: 0.7377
 Training bag [65/319] bag loss: 0.6897
 Training bag [66/319] bag loss: 0.6633
 Training bag [67/319] bag loss: 0.7161
 Training bag [68/319] bag loss: 0.6200
 Training bag [69/319] bag loss: 0.6817
 Training bag [70/319] bag loss: 0.6027
 Training bag [71/319] bag loss: 0.4767
 Training bag [72/319] bag loss: 0.2667
 Training bag [73/319] bag loss: 2.1517
 Training bag [74/319] bag loss: 0.7903
 Training bag [75/319] bag loss: 0.5471
 Training bag [76/319] bag loss: 0.6086
 Training bag [77/319] bag loss: 0.9838
 Training bag [78/319] bag loss: 0.6797
 Training bag [79/319] bag loss: 0.7875
 Training bag [80/319] bag loss: 0.6298
